predictor,importance,importance_rank
dist_to_water,0.16819274831972367,1
dist_to_roads,0.1675295087350186,2
dist_to_buildings,0.16746105995678645,3
elevation,0.16032224815285323,4
dist_to_trails,0.14958804036639392,5
ndvi,0.09582841427536104,6
landcover_barr__och_blandskog,0.0361354219193337,7
landcover_̦ppen_mark,0.03027611343267006,8
on_roads,0.012084919138949927,9
rocky_terrain,0.00805997138242579,10
on_trails,0.003662916246851742,11
on_water,0.0008033005453180122,12
firm_wetlands,5.533752831381487e-05,13
on_buildings,0.0,14
